upmm,anode_entrance
-7.1366077,-0.63639661
-7.1351992,-1.8436902
-7.1329957,0.48380423
-7.1327483,-0.58218208
-7.1310115,-0.79993108
-7.1302284,-1.0858815
-7.1300891,-3.9188288
-7.12984,-1.5540667
-7.1298112,-1.6772664
-7.1284534,-0.61566048
-7.1283326,-1.4168513
-7.1256061,-1.9257158
-7.1255104,0.26351358
-7.1232409,-1.0298856
-7.1227158,-0.48921383
-7.1201981,-0.32194475
-7.1185831,-0.11940827
-7.1160498,-3.7332356
-7.1151284,-0.8777799
-7.1083631,-2.6356978
-7.1075687,-1.3649963
-7.1025541,0.12990896
-7.1008663,-1.0737381
-7.1001089,0.52870648
-7.09794,0.16463492
-7.0950726,-3.384625
-7.0940812,-2.9824012
-7.0940079,-3.1943285
-7.0927862,-2.2417467
-7.0921928,-2.6934177
-7.0906301,0.67482706
-7.090555,-1.335604
-7.0851298,-1.1660057
-7.0833146,-1.394076
-7.0810408,0.52459319
-7.0790841,-1.8121719
-7.0785804,-1.671939
-7.0768111,-1.63315
-7.0763554,-1.0046976
-7.0755011,-1.8476603
-7.0725847,-1.9105706
-7.0685251,-2.0684367
-7.0661425,-1.9639917
-7.0655922,-1.2147409
-7.065478,-1.3670507
-7.065087,-1.8255652
-7.0647382,0.32236207
-7.0641259,-0.43184308
-7.0627982,-2.4696268
-7.0574642,-2.3974528
-7.056431,-3.2698963
-7.0557236,-0.90508483
-7.0544557,-1.6305759
-7.0518549,-2.5108363
-7.0512522,-1.2612799
-7.0493746,-3.194762
-7.0491445,-2.7785981
-7.0463283,-1.1657332
-7.0461437,-0.50392288
-7.0361194,-0.9116866
-7.0361055,-0.74677174
-7.0349616,-3.0487826
-7.0282259,0.25977054
-7.0274639,-0.0062706789
-7.0261221,-1.979971
-7.0199281,-1.5598529
-7.0196432,-2.6851655
-7.0192654,-2.6557414
-7.0192425,0.25854013
-7.0182023,-0.44424299
-7.0148037,-2.8623844
-7.0139463,-0.93004522
-7.0122274,-3.2304002
-7.0115729,-0.011602265
-7.0109731,-0.78690096
-7.0097929,-1.077552
