upmm,anode_entrance
-40.980603,-16.888075
-40.979038,-18.794106
-40.975472,-15.93792
-40.973751,-10.195782
-40.961184,-13.73998
-40.960827,-15.981348
-40.959015,-15.792848
-40.948452,-15.954316
-40.948256,-16.209916
-40.933033,-15.294204
-40.931694,-17.504603
-40.930984,-15.029771
-40.929636,-19.684483
-40.926948,-19.533074
-40.924226,-15.624505
-40.920108,-11.013315
-40.89074,-15.68593
-40.886544,-18.461414
-40.882066,-17.537027
-40.880712,-16.51746
-40.87931,-17.566317
-40.876157,-16.444158
-40.875912,-15.766695
-40.871379,-16.872798
-40.866287,-9.8862032
-40.859036,-15.847045
-40.85404,-15.690322
-40.852484,-16.947955
-40.851048,-11.08571
-40.842975,-15.63729
-40.839911,-15.337167
-40.833159,-18.955727
-40.832824,-19.441603
-40.831826,-19.441281
-40.823582,-22.734517
-40.82349,-17.970477
-40.820173,-19.864219
-40.819559,-15.756596
-40.805042,-17.882184
-40.788817,-22.102901
-40.785783,-14.108207
-40.784798,-14.268471
-40.783763,-15.599233
-40.783653,-16.062899
-40.783563,-14.477244
-40.780275,-14.567225
-40.774015,-17.426803
-40.773962,-18.284849
-40.77159,-17.543673
-40.764895,-16.626275
-40.756156,-19.664757
-40.753789,-16.209319
-40.753198,-20.293261
-40.749054,-14.702479
-40.747285,-16.215351
-40.735036,-16.048469
-40.734307,-17.100862
-40.733568,-9.5319176
-40.733319,-17.233062
-40.731617,-16.605791
-40.730488,-15.624737
-40.726104,-18.841401
-40.724904,-14.742996
-40.716824,-7.5896028
-40.682463,-17.478175
-40.681513,-14.903342
-40.681364,-16.718314
-40.678323,-8.4013483
-40.672695,-16.855015
-40.668091,-15.388031
-40.663027,-15.388115
-40.661443,-7.8889065
-40.64992,-14.994743
-40.648791,-18.036808
-40.637797,-20.764691
-40.598782,-17.078103
-40.595321,-15.280571
-40.594767,-8.3634319
-40.590628,-15.181029
-40.585756,-22.093192
-40.574149,-17.457882
-40.567178,-21.670385
-40.556329,-20.643923
-40.551252,-18.219308
-40.549627,-7.9032545
-40.542372,-18.327219
-40.537148,-19.011557
-40.533719,-16.200049
-40.529321,-20.490103
-40.527108,-9.5348036
-40.526838,-18.787005
-40.517496,-7.5632526
-40.51694,-18.221006
-40.51633,-19.086841
-40.509975,-20.290855
-40.507514,-20.248824
-40.505481,-7.3815788
-40.50341,-19.917988
-40.503403,-9.1837482
-40.502148,-17.851238
-40.498932,-18.169693
-40.483433,-21.075767
-40.467096,-8.2705335
-40.454095,-20.450504
-40.44528,-15.116651
-40.437616,-8.7973506
-40.432486,-19.683276
-40.425058,-19.111596
-40.417944,-17.611061
-40.417714,-20.088954
-40.407248,-19.816824
-40.398219,-13.37289
-40.386428,-20.312984
-40.38381,-17.817799
-40.371706,-17.338745
-40.362508,-20.708195
-40.36004,-7.8950755
-40.355813,-20.094498
-40.326474,-23.26193
-40.319797,-7.3839732
-40.318962,-22.533644
-40.312322,-18.727408
-40.307505,-9.5721875
-40.294706,-19.969937
-40.291035,-15.857422
-40.27732,-18.445027
-40.276697,-18.897705
-40.275405,-21.191467
-40.275247,-19.377463
-40.259675,-19.32873
-40.255404,-20.967219
-40.2348,-18.348731
-40.22926,-9.167356
-40.226986,-19.174858
-40.217741,-16.381326
-40.214666,-20.847313
-40.209701,-18.985455
-40.209144,-19.692232
-40.204932,-20.681551
-40.186553,-18.929843
-40.185615,-20.708159
-40.180235,-20.130167
-40.17546,-20.04194
-40.169893,-7.4617757
-40.155375,-23.971512
-40.152972,-20.249263
-40.152668,-17.971941
-40.151956,-19.395008
-40.132773,-17.941813
-40.132703,-14.732164
-40.121906,-18.957798
-40.117413,-21.02509
-40.11494,-21.545197
-40.10891,-7.4555702
-40.093111,-19.454184
-40.091983,-8.2006461
-40.090325,-18.117732
-40.079083,-17.875018
-40.070982,-19.99386
-40.058276,-19.323753
-40.049545,-22.519486
-40.045268,-21.598771
-40.043384,-20.577193
-40.031622,-16.289796
-40.030205,-20.816256
-40.017448,-22.131723
-40.014681,-8.0775258
-40.010866,-20.747145
-40.008095,-15.829119
-39.997991,-18.732644
-39.996146,-21.773083
-39.995069,-18.258413
-39.993217,-15.385649
-39.993003,-18.21056
-39.990438,-17.947121
-39.979384,-18.198376
-39.978408,-20.14344
-39.97605,-17.573232
-39.973299,-19.865409
-39.968706,-15.431924
-39.968408,-16.715693
-39.964636,-19.127101
-39.959993,-18.170422
-39.949596,-20.648451
-39.938796,-9.5918517
-39.925193,-7.3998148
-39.917231,-19.077905
-39.909429,-20.528813
-39.908514,-18.024132
-39.895865,-21.846323
-39.895321,-11.716484
-39.884097,-21.949996
-39.880135,-18.415613
-39.872972,-20.293563
-39.870558,-20.760545
-39.859695,-19.2336
-39.856429,-17.824754
-39.855816,-18.589298
-39.85164,-15.96989
-39.843128,-18.084707
-39.842465,-18.050831
-39.836221,-13.450476
-39.836065,-7.6652803
-39.834367,-23.557814
-39.832567,-16.525998
-39.830198,-21.492566
-39.826361,-18.111102
-39.821106,-21.387034
-39.821072,-21.250769
-39.816696,-18.855922
-39.808992,-20.544486
-39.808726,-20.09601
-39.801116,-18.726279
-39.795052,-20.1207
-39.794879,-16.881096
-39.78718,-18.516981
-39.777151,-20.545743
-39.77361,-20.012486
-39.767488,-20.321454
-39.760979,-20.626715
-39.756938,-17.994813
-39.755832,-23.773915
-39.754986,-8.546438
-39.735484,-17.962246
-39.734676,-15.790437
-39.729395,-17.738837
-39.729392,-24.406003
-39.726117,-8.619106
-39.724082,-21.8628
-39.712903,-16.774556
-39.711765,-19.404535
-39.706294,-12.739964
-39.704889,-22.276117
-39.700074,-18.767398
-39.6997,-19.779078
-39.695489,-21.214006
-39.690914,-15.856172
-39.687717,-18.129446
-39.683323,-14.092939
-39.681276,-18.819815
-39.676188,-21.617415
-39.671806,-7.5178376
-39.669683,-20.476695
-39.655849,-21.465279
-39.654312,-17.674233
-39.648909,-7.5327194
-39.647636,-18.706799
-39.64281,-9.1164782
-39.63646,-12.078223
-39.63471,-19.726393
-39.627213,-14.805194
-39.619839,-17.899599
-39.618378,-16.863288
-39.61153,-11.932025
-39.610483,-22.410872
-39.607792,-18.152093
-39.606157,-20.094957
-39.597624,-20.541479
-39.596012,-11.763734
-39.585878,-7.1474285
-39.583217,-17.98132
-39.579609,-18.124304
-39.579256,-22.00167
-39.575006,-18.134122
-39.567548,-21.847191
-39.563743,-21.790724
-39.559288,-20.030191
-39.559012,-12.521755
-39.557493,-19.778239
-39.54788,-19.18437
-39.546893,-19.350457
-39.54451,-16.388691
-39.539851,-22.576758
-39.527774,-11.064385
-39.518601,-7.243783
-39.518497,-16.778613
-39.513655,-18.505948
-39.510445,-7.788538
-39.5068,-18.080733
-39.503809,-14.13639
-39.50334,-21.246793
-39.502391,-20.916084
-39.499168,-22.74619
-39.487737,-9.0398321
-39.48044,-16.757807
-39.479129,-21.557853
-39.478563,-11.585232
-39.472366,-17.829401
-39.466689,-11.38924
-39.459503,-14.029427
-39.45854,-20.196171
-39.445078,-19.594955
-39.440062,-21.391613
-39.435606,-15.292105
-39.430602,-22.600412
-39.429647,-21.279754
-39.424514,-12.447312
-39.41721,-21.615846
-39.398429,-17.75801
-39.395947,-24.35202
-39.393633,-11.001162
-39.393592,-18.864875
-39.392917,-8.2752647
-39.392174,-22.378347
-39.388462,-8.1221759
-39.384894,-20.358523
-39.383168,-19.26083
-39.371274,-22.762791
-39.369913,-14.460885
-39.364311,-13.730299
-39.36083,-19.842223
-39.35148,-8.2639246
-39.348536,-11.698785
-39.347787,-22.183825
-39.346096,-22.909018
-39.330181,-18.983148
-39.324107,-21.46643
-39.32327,-14.249879
-39.320451,-17.686333
-39.318164,-22.018655
-39.310241,-21.483789
-39.305539,-8.0652032
-39.304764,-11.073937
-39.303646,-16.978455
-39.300044,-13.669404
-39.289974,-22.145483
-39.286942,-8.0040076
-39.285009,-20.894908
-39.28409,-20.301689
-39.26455,-7.8372922
-39.264303,-24.512906
-39.259844,-19.875417
-39.256462,-14.806975
-39.254271,-19.223006
-39.251225,-19.635695
-39.250762,-20.792201
-39.245633,-18.421082
-39.235211,-20.37759
-39.23268,-13.613011
-39.228762,-19.109185
-39.221808,-18.011234
-39.219522,-15.312895
-39.215472,-21.844401
-39.207052,-22.173356
-39.206655,-17.921789
-39.202409,-14.405647
-39.193474,-19.059355
-39.188472,-21.369569
-39.184019,-8.7440619
-39.180376,-18.126646
-39.175028,-23.220581
-39.172659,-19.486602
-39.171188,-7.5167143
-39.169472,-22.985284
-39.168755,-13.260113
-39.167354,-7.7542699
-39.166223,-9.439562
-39.162146,-19.557
-39.139777,-22.592447
-39.139005,-18.192877
-39.135835,-19.050202
-39.13323,-21.496653
-39.132457,-19.878397
-39.131547,-7.7069267
-39.125464,-20.566835
-39.121765,-22.499658
-39.112224,-23.544001
-39.111876,-19.959419
-39.106108,-18.580695
-39.105667,-8.3196262
-39.10213,-9.9627215
-39.101298,-20.308785
-39.092495,-23.320113
-39.090524,-19.500854
-39.089626,-17.998275
-39.082527,-11.464077
-39.078035,-20.427575
-39.071672,-22.842248
-39.071314,-19.694568
-39.067448,-20.384041
-39.066044,-20.730433
-39.065817,-10.290555
-39.058555,-12.694856
-39.04316,-20.65315
-39.036039,-17.004653
-39.031891,-12.426012
-39.025786,-14.687916
-39.022714,-11.679297
-39.022614,-22.427563
-39.021157,-10.831091
-39.016602,-11.855155
-39.01541,-23.53602
